temp,i,j,"a[i,j]"
2.92,25,20,1
2.92,25,21,1
2.92,25,22,1
2.92,25,23,-1
2.92,25,24,-1
2.92,25,25,-1
2.92,25,26,-1
2.92,25,27,-1
2.92,25,28,-1
2.92,25,29,-1
2.92,25,30,-1
2.92,25,31,-1
2.92,25,32,1
2.92,25,33,1
2.92,25,34,-1
2.92,25,35,1
2.92,25,36,1
2.92,25,37,1
2.92,25,38,1
2.92,25,39,1
2.92,25,40,-1
2.92,25,41,-1
2.92,25,42,-1
2.92,25,43,-1
2.92,25,44,1
2.92,25,45,1
2.92,25,46,-1
2.92,25,47,1
2.92,25,48,1
2.92,25,49,1
2.92,26,0,-1
2.92,26,1,-1
2.92,26,2,-1
2.92,26,3,-1
2.92,26,4,1
2.92,26,5,1
2.92,26,6,1
2.92,26,7,-1
2.92,26,8,1
2.92,26,9,1
2.92,26,10,-1
2.92,26,11,-1
2.92,26,12,-1
2.92,26,13,-1
2.92,26,14,-1
2.92,26,15,1
2.92,26,16,1
2.92,26,17,-1
2.92,26,18,-1
2.92,26,19,1
2.92,26,20,1
2.92,26,21,-1
2.92,26,22,1
2.92,26,23,-1
2.92,26,24,1
2.92,26,25,-1
2.92,26,26,1
